SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	July 23, 2020	July 22, 2020	July 21, 2020	July 20, 2020	July 17, 2020
Chinese yuan	0.1023840000	0.1023030000	0.1028340000	0.1028990000	0.1028640000
Euro	0.8286710000	0.8295030000	0.8229240000	0.8233530000	0.8228240000
Japanese yen		0.0067045500	0.0067072500	0.0066903300	0.0067127300
U.K. pound	0.9106140000	0.9094950000	0.9133940000	0.9064940000	0.9039330000
U.S. dollar	0.7162860000	0.7164480000	0.7191510000	0.7192110000	0.7200070000
Algerian dinar	0.0055986800	0.0055980000	0.0056107700	0.0056097400	0.0056072200
Australian dollar	0.5122160000	0.5124040000	0.5062820000	0.5025130000	0.5027090000
Botswana pula	0.0626034000	0.0625459000			0.0622086000
Brazilian real	0.1387050000	0.1401910000	0.1375650000	0.1341090000	0.1345710000
Brunei dollar	0.5175480000	0.5179270000	0.5172630000	0.5170090000	0.5175070000
Canadian dollar		0.5338660000	0.5348440000	0.5310570000	0.5304310000
Chilean peso	0.0009313790	0.0009212870	0.0009149040	0.0009135620	0.0009142950
Colombian peso	0.0001974720	0.0001974670	0.0001969240		0.0001984660
Czech koruna	0.0314630000	0.0314646000	0.0311361000	0.0309564000	0.0308341000
Danish krone	0.1113370000	0.1114300000	0.1105350000	0.1105480000	0.1105150000
Indian rupee	0.0095818100	0.0095929600	0.0096184600	0.0095937500	0.0095871200
Israeli New Shekel	0.2093790000	0.2095490000	0.2102170000	0.2096210000	0.2088790000
Korean won	0.0006000550	0.0005979870	0.0005974500	0.0005965090	0.0005979630
Kuwaiti dinar	2.3366000000	2.3363700000	2.3421300000	2.3423300000	
Malaysian ringgit	0.1684390000	0.1684370000	0.1687160000	0.1686390000	0.1686400000
Mauritian rupee	0.0177738000	0.0177718000		0.0178585000	0.0179191000
Mexican peso	0.0320304000	0.0321985000	0.0321628000	0.0317844000	0.0320150000
New Zealand dollar	0.4774760000	0.4760800000	0.4729860000	0.4704360000	0.4711010000
Norwegian krone	0.0781230000	0.0787435000	0.0784235000	0.0776308000	0.0776288000
Omani rial		1.8633200000	1.8703500000	1.8705100000	
Peruvian sol		0.2045830000	0.2060010000	0.2049620000	
Philippine peso	0.0145176000	0.0145277000	0.0145533000	0.0145316000	0.0145327000
Polish zloty	0.1881990000	0.1859260000	0.1852910000	0.1844270000	0.1833810000
Qatari riyal	0.1967820000	0.1968260000	0.1975690000	0.1975850000	
Russian ruble	0.0100938000	0.0101210000	0.0101336000	0.0099942100	0.0100400000
Saudi Arabian riyal		0.1910530000	0.1917740000	0.1917900000	
Singapore dollar	0.5175480000	0.5179270000	0.5172630000	0.5170090000	0.5175070000
South African rand	0.0430824000	0.0437206000	0.0435695000	0.0431386000	0.0431966000
Swedish krona	0.0808394000	0.0806248000	0.0802812000	0.0797060000	0.0793335000
Swiss franc	0.7725680000	0.7683500000	0.7670940000	0.7662190000	0.7650700000
Thai baht	0.0226365000	0.0226846000	0.0226683000	0.0226160000	0.0227117000
Trinidadian dollar		0.1059400000	0.1065010000	0.1065010000	
U.A.E. dirham	0.1950400000	0.1950850000	0.1958210000	0.1958370000	
Uruguayan peso		0.0168093000	0.0166926000	0.0165870000	

Currency units per SDR(3)

Currency	July 23, 2020	July 22, 2020	July 21, 2020	July 20, 2020	July 17, 2020
Chinese yuan	9.767150	9.774880	9.724410	9.718270	9.721570
Euro	1.206750	1.205540	1.215180	1.214550	1.215330
Japanese yen		149.152000	149.092000	149.469000	148.971000
U.K. pound	1.098160	1.099510	1.094820	1.103150	1.106280
U.S. dollar	1.396090	1.395770	1.390530	1.390410	1.388880
Algerian dinar	178.614000	178.635000	178.229000	178.261000	178.341000
Australian dollar	1.952300	1.951590	1.975180	1.990000	1.989220
Botswana pula	15.973600	15.988300			16.074900
Brazilian real	7.209550	7.133130	7.269290	7.456620	7.431020
Brunei dollar	1.932190	1.930770	1.933250	1.934200	1.932340
Canadian dollar		1.873130	1.869700	1.883040	1.885260
Chilean peso	1,073.680000	1,085.440000	1,093.010000	1,094.620000	1,093.740000
